event_type,exchange_timestamp,local_timestamp,side,price,size,sequence,update_id,venue,symbol
snapshot,1000,1001,bid,100.0,1.0,1,1,fixture,BTCUSDT
snapshot,1000,1001,ask,100.5,1.2,1,1,fixture,BTCUSDT
delta,1010,1011,bid,100.1,0.8,2,2,fixture,BTCUSDT
delta,1020,1021,ask,100.6,1.4,3,3,fixture,BTCUSDT
delta,1030,1031,bid,100.2,0.9,4,4,fixture,BTCUSDT
delta,1040,1041,ask,100.7,1.1,5,5,fixture,BTCUSDT
delta,1050,1051,bid,100.3,0.7,6,6,fixture,BTCUSDT
delta,1060,1061,ask,100.8,1.0,7,7,fixture,BTCUSDT
delta,1070,1071,bid,100.4,0.8,8,8,fixture,BTCUSDT
delta,1080,1081,ask,100.9,1.2,9,9,fixture,BTCUSDT
delta,1090,1091,bid,100.45,0.9,10,10,fixture,BTCUSDT
delta,1100,1101,ask,101.0,1.1,11,11,fixture,BTCUSDT
delta,1110,1111,bid,100.46,0.8,12,12,fixture,BTCUSDT
delta,1120,1121,ask,101.1,1.0,13,13,fixture,BTCUSDT
delta,1130,1131,bid,100.47,0.7,14,14,fixture,BTCUSDT
delta,1140,1141,ask,101.2,1.2,15,15,fixture,BTCUSDT
