source_date,event_time,future_event_time,label,microprice_deviation,top_imbalance,top_imbalance_mean_5,quote_ofi_normalized,quote_ofi_5_normalized,mid_return_1,mid_return_5,realized_volatility_5,trade_imbalance,depth_imbalance_1pct,notional_imbalance_1pct,depth_imbalance_5pct,notional_imbalance_5pct,bid,ask,entry_bid,entry_ask,future_bid,future_ask,entry_mid,entry_spread,maker_long_fillable,maker_short_fillable
2026-01-01,1000,1600,1,0.30,0.20,0.10,0.05,0.07,0.0001,0.0002,0.0003,0.25,0.10,0.08,0.04,0.03,100.0,100.2,100.0,100.2,100.4,100.6,100.1,0.2,1,0
2026-01-01,2000,2600,1,0.25,0.18,0.12,0.04,0.06,0.0001,0.0002,0.0003,0.20,0.09,0.07,0.03,0.02,100.1,100.3,100.1,100.3,100.5,100.7,100.2,0.2,1,0
2026-01-01,3000,3600,-1,-0.28,-0.22,-0.10,-0.05,-0.08,-0.0001,-0.0002,0.0004,-0.24,-0.10,-0.08,-0.04,-0.03,100.4,100.6,100.4,100.6,100.0,100.2,100.5,0.2,0,1
2026-01-01,4000,4600,0,0.01,0.00,0.02,0.00,0.01,0.0000,0.0000,0.0001,0.02,0.00,0.00,0.00,0.00,100.2,100.4,100.2,100.4,100.1,100.5,100.3,0.2,0,0
2026-01-02,5000,5600,-1,-0.32,-0.25,-0.14,-0.06,-0.09,-0.0002,-0.0003,0.0005,-0.30,-0.12,-0.10,-0.05,-0.04,100.3,100.5,100.3,100.5,99.8,100.0,100.4,0.2,0,1
2026-01-02,6000,6600,1,0.35,0.26,0.15,0.06,0.10,0.0002,0.0003,0.0004,0.32,0.13,0.11,0.06,0.05,99.9,100.1,99.9,100.1,100.3,100.5,100.0,0.2,1,0
2026-01-02,7000,7600,1,0.22,0.14,0.11,0.03,0.05,0.0001,0.0002,0.0003,0.18,0.07,0.06,0.03,0.02,100.0,100.2,100.0,100.2,100.2,100.4,100.1,0.2,1,0
2026-01-02,8000,8600,-1,-0.24,-0.16,-0.12,-0.04,-0.06,-0.0001,-0.0002,0.0003,-0.21,-0.08,-0.07,-0.03,-0.02,100.2,100.4,100.2,100.4,99.9,100.1,100.3,0.2,0,1
2026-01-03,9000,9600,0,0.02,0.01,0.00,0.00,0.00,0.0000,0.0001,0.0002,0.00,0.00,0.01,0.00,0.00,100.0,100.2,100.0,100.2,99.95,100.25,100.1,0.2,0,0
2026-01-03,10000,10600,1,0.27,0.19,0.13,0.05,0.08,0.0001,0.0002,0.0004,0.23,0.10,0.09,0.04,0.03,100.1,100.3,100.1,100.3,100.5,100.7,100.2,0.2,1,0
2026-01-03,11000,11600,-1,-0.26,-0.20,-0.13,-0.05,-0.07,-0.0001,-0.0002,0.0004,-0.22,-0.10,-0.09,-0.04,-0.03,100.4,100.6,100.4,100.6,100.0,100.2,100.5,0.2,0,1
2026-01-03,12000,12600,1,0.31,0.21,0.14,0.05,0.08,0.0001,0.0002,0.0003,0.26,0.11,0.09,0.05,0.04,100.0,100.2,100.0,100.2,100.3,100.5,100.1,0.2,1,0
